title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_year,genre_encoded,console_encoded,publisher_encoded,metascore,userscore,total_sales_scaled,metascore_scaled,userscore_scaled,combined_score,success_combined
fifa 15,Ps4,Sports,Ea Sports,Ea Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014.0,17,23,167,82.0,59.0,0.3110236220472441,0.7974683544303798,0.6082474226804123,0.45829628206300654,1
driver,Ps,Action,Gt Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999.0,0,20,265,87.0,80.0,0.3085629921259842,0.8607594936708861,0.8247422680412371,0.5204372863365327,1
call of duty: wwii,Xone,Shooter,Activision,Sledgehammer Games,7.3,6.23,3.75,0.0,1.91,0.57,2017.0,15,38,23,79.0,53.0,0.3065944881889764,0.759493670886076,0.5463917525773195,0.4344786816906271,1
minecraft,Ps3,Misc,Sony Computer Entertainment America,Mojang,7.3,6.05,2.21,0.0,2.86,0.99,2014.0,6,22,586,93.0,82.0,0.2977362204724409,0.9367088607594937,0.845360824742268,0.5304882675829556,1
red dead redemption 2,Xone,Action-Adventure,Rockstar Games,Rockstar Games,7.3,5.77,3.76,0.0,1.47,0.54,2018.0,1,38,552,97.0,89.0,0.2839566929133858,0.9873417721518988,0.9175257731958762,0.5478567248697853,1
destiny,Ps4,Shooter,Activision,Bungie,7.3,5.76,2.53,0.16,2.13,0.94,2014.0,15,23,23,76.0,61.0,0.28346456692913385,0.7215189873417721,0.6288659793814433,0.4355230831041069,1
tekken 2,Ps,Fighting,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996.0,5,20,435,89.0,78.0,0.2824803149606299,0.8860759493670886,0.8041237113402062,0.5034305092164928,1
lego star wars: the complete saga,Wii,Action,Lucasarts,Traveller'S Tales,8.0,5.66,3.57,0.0,1.57,0.52,2007.0,0,31,369,80.0,85.0,0.2785433070866142,0.7721518987341772,0.8762886597938144,0.5020209340105487,1
cooking mama,Ds,Simulation,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,2006.0,16,4,375,67.0,74.0,0.2785433070866142,0.6075949367088608,0.7628865979381443,0.4489868742428337,1
assassin's creed ii,Ps3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,2009.0,0,22,685,90.0,88.0,0.27411417322834647,0.8987341772151899,0.9072164948453608,0.5260827542306266,1
assassin's creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,2007.0,0,35,685,81.0,73.0,0.27312992125984253,0.7848101265822784,0.7525773195876289,0.4697438016401545,1
batman: arkham city,Ps3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,2011.0,0,22,717,94.0,88.0,0.27263779527559057,0.9493670886075949,0.9072164948453608,0.5327918641678338,1
forza motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009.0,12,35,410,92.0,82.0,0.2706692913385827,0.9240506329113924,0.845360824742268,0.5123493759254255,1
call of duty: world at war,Ps3,Shooter,Activision,Treyarch,8.4,5.43,2.75,0.0,1.84,0.84,2008.0,15,22,23,84.0,79.0,0.26722440944881887,0.8227848101265823,0.8144329896907216,0.4873606146109591,1
minecraft,Xone,Misc,Microsoft Studios,Mojang,7.3,5.43,3.23,0.0,1.71,0.49,2014.0,6,38,411,93.0,82.0,0.26722440944881887,0.9367088607594937,0.845360824742268,0.5121811809687824,1
crash bandicoot: the wrath of cortex,Ps2,Platform,Universal Interactive,Traveller'S Tales,6.9,5.42,2.07,0.24,2.29,0.82,2001.0,10,21,692,66.0,73.0,0.2667322834645669,0.5949367088607594,0.7525773195876289,0.43742420630476125,1
final fantasy xiii,Ps3,Role-Playing,Square Enix,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,2010.0,13,22,601,83.0,63.0,0.2632874015748031,0.810126582278481,0.6494845360824743,0.4418625623072726,1
assassin's creed iii,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,7.3,5.31,3.13,0.03,1.71,0.45,2012.0,1,35,685,84.0,70.0,0.26131889763779526,0.8227848101265823,0.7216494845360825,0.4606214312356851,1
assassin's creed ii,X360,Action,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,0.08,1.55,0.52,2009.0,0,35,685,90.0,88.0,0.2608267716535433,0.8987341772151899,0.9072164948453608,0.5181103132857446,1
tomb raider ii,Ps,Adventure,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,0.2,2.46,0.28,1997.0,2,20,174,85.0,80.0,0.2578740157480315,0.8354430379746836,0.8247422680412371,0.4862264321553307,1
madden nfl 2004,Ps2,Sports,Ea Sports,Ea Tiburon,9.5,5.23,4.26,0.01,0.26,0.71,2003.0,17,21,167,94.0,65.0,0.25738188976377957,0.9493670886075949,0.6701030927835051,0.4643599703452832,1
call of duty: advanced warfare,Xone,Shooter,Activision,Sledgehammer Games,8.3,5.22,3.25,0.01,1.49,0.48,2014.0,15,38,23,81.0,57.0,0.25688976377952755,0.7848101265822784,0.5876288659793815,0.41876259374990366,1
medal of honor: rising sun,Ps2,Shooter,Electronic Arts,Ea Los Angeles,5.9,5.13,1.98,0.13,2.23,0.8,2003.0,15,21,178,68.0,74.0,0.25246062992125984,0.620253164556962,0.7628865979381443,0.43523600212083624,1
battlefield 1,Xone,Shooter,Electronic Arts,Ea Dice,9.3,5.13,3.37,0.02,1.26,0.48,2016.0,15,38,178,88.0,74.0,0.25246062992125984,0.8734177215189873,0.7628865979381443,0.4732106856651401,1
microsoft flight simulator,Pc,Simulation,Microsoft,Microsoft,7.0,5.12,3.22,0.0,1.69,0.2,1996.0,16,17,409,91.0,72.0,0.25196850393700787,0.9113924050632911,0.7422680412371134,0.4734569734309767,1
guitar hero ii,Ps2,Misc,Redoctane,Harmonix Music Systems,9.2,5.12,3.81,0.0,0.63,0.68,2006.0,6,21,542,92.0,82.0,0.25196850393700787,0.9240506329113924,0.845360824742268,0.5011289034844806,1
mario & sonic at the olympic games,Ds,Sports,Sega,Sega,7.0,5.1,1.63,0.44,2.46,0.57,2008.0,17,4,566,67.0,75.0,0.25098425196850394,0.6075949367088608,0.7731958762886598,0.4350287607595964,1
fable iii,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010.0,13,35,410,80.0,67.0,0.25098425196850394,0.7721518987341772,0.6907216494845361,0.4390937483623629,1
resident evil 5,Ps3,Action,Capcom,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009.0,0,22,107,83.0,73.0,0.25098425196850394,0.810126582278481,0.7525773195876289,0.4602538684197817,1
fifa soccer 11,Ps3,Sports,Ea Sports,Ea Canada,8.7,5.08,0.61,0.06,3.28,1.12,2010.0,17,22,167,88.0,76.0,0.25,0.8734177215189873,0.7835051546391752,0.47688894688764194,1
grand theft auto: vice city stories,Psp,Action,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,0.16,2.03,1.19,2006.0,0,25,552,86.0,82.0,0.25,0.8481012658227848,0.845360824742268,0.4885553960589847,1
final fantasy xv,Ps4,Role-Playing,Square Enix,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016.0,13,23,601,81.0,74.0,0.24950787401574803,0.7848101265822784,0.7628865979381443,0.4581478928813266,1
fallout 4,Xone,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,0.02,1.62,0.45,2015.0,13,38,87,87.0,70.0,0.24753937007874016,0.8607594936708861,0.7216494845360825,0.4580499172318976,1
tony hawk's pro skater,Ps,Sports,Activision,Neversoft Entertainment,9.6,5.02,3.42,0.02,1.38,0.2,1999.0,17,20,23,92.0,80.0,0.24704724409448817,0.9240506329113924,0.8247422680412371,0.493021508403711,1
guitar hero iii: legends of rock,Ps2,Misc,Redoctane,Budcat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007.0,6,21,542,85.0,84.0,0.24507874015748032,0.8354430379746836,0.865979381443299,0.4888585451515155,1
uncharted: drake's fortune,Ps3,Action,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,0.12,1.73,0.8,2007.0,0,22,585,88.0,77.0,0.24458661417322833,0.8734177215189873,0.7938144329896907,0.4762182349792078,1
fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.09,0.99,0.46,2008.0,13,35,87,93.0,82.0,0.24409448818897636,0.9367088607594937,0.845360824742268,0.49830322821287687,1
madden nfl 06,Ps2,Sports,Ea Sports,Ea Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,2005.0,17,21,167,74.0,42.0,0.24163385826771655,0.6962025316455697,0.4329896907216495,0.3576581173878778,1
assassin's creed,Ps3,Action,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,0.09,2.01,0.82,2007.0,0,22,685,81.0,73.0,0.23769685039370078,0.7848101265822784,0.7525773195876289,0.44848395912046946,1
crash bandicoot n. sane trilogy,Ps4,Platform,Activision,Vicarious Visions,7.3,4.83,1.09,0.07,2.92,0.74,2017.0,10,23,23,80.0,84.0,0.23769685039370078,0.7721518987341772,0.865979381443299,0.4749357404071718,1
call of duty: infinite warfare,Xone,Shooter,Activision,Infinity Ward,7.3,4.79,2.91,0.0,1.44,0.44,2016.0,15,38,23,77.0,43.0,0.2357283464566929,0.7341772151898734,0.44329896907216493,0.362388332420538,1
lego star wars: the complete saga,Ds,Action,Lucasarts,Traveller'S Tales,7.8,4.77,2.83,0.0,1.49,0.45,2007.0,0,4,369,80.0,85.0,0.23474409448818895,0.7721518987341772,0.8762886597938144,0.47574140645149354,1
batman: arkham city,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,0.04,1.28,0.44,2011.0,0,35,717,94.0,88.0,0.23375984251968504,0.9493670886075949,0.9072164948453608,0.5094650925142904,1
